id,draw,longitude,latitude,rad
8524,1,-73.4707746126396,45.7193220135518,
8535,2,-73.4698304750664,45.7187377442263,
8548,3,-73.4727111675484,45.7175317330934,
9616,4,-73.4719294909594,45.7171617934991,
